Temperature,Clearsky DHI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Label
26.5,103,499,0,17.5,103,735,0,499,0.3,57.79,57.4,0.14,1008,2.1,38,2.9000000000000004,749.0164824673205
24.0,144,652,0,16.7,144,736,0,652,0.321,63.83,46.34,0.14,1008,2.7,46,5.800000000000001,748.1593140162931
21.700000000000003,43,60,0,18.1,43,156,0,60,0.304,80.01,83.60000000000001,0.14,1010,2.8000000000000003,50,3.5,195.99570207029006
26.1,157,923,0,18.6,157,828,0,923,0.306,63.26,22.37,0.15,1009,2.9000000000000004,42,4.7,811.2885062882364
25.0,107,480,0,18.1,107,707,0,480,0.305,65.61,58.15,0.15,1010,2.6,44,5.300000000000001,699.2990019113453
28.5,144,924,0,18.2,144,845,0,924,0.302,53.76,22.75,0.15,1011,2.9000000000000004,46,1.8,835.2494968194483
28.700000000000003,134,790,0,18.0,134,815,0,790,0.301,52.51,36.39,0.15,1010,2.8000000000000003,38,2.7,823.0875485890339
27.0,185,424,3,21.0,210,256,0,343,0.308,69.69,58.9,0.15,999,4.3,15,3.3000000000000003,195.78842594329348
25.200000000000003,98,659,0,16.8,98,843,0,659,0.301,59.74,48.31,0.15,1013,1.8,46,7.0,840.9850311476041
24.3,69,211,0,19.0,69,534,0,211,0.295,72.46000000000001,74.55,0.15,1014,2.0,49,6.4,503.61732222018435
28.700000000000003,208,877,4,19.8,448,166,0,598,0.29,58.6,25.18,0.14,1010,3.2,37,5.0,189.10898974767446
29.3,210,859,0,20.8,210,721,0,859,0.306,60.370000000000005,25.93,0.14,1006,4.2,37,4.0,724.7671361445889
29.5,184,681,0,22.1,184,671,0,681,0.296,64.57000000000001,42.24,0.14,1007,4.0,20,2.7,699.7243739146588
26.1,47,59,0,23.200000000000003,47,100,0,59,0.292,84.18,83.08,0.14,1009,4.0,29,4.1000000000000005,158.69974591057047
25.3,22,24,0,24.3,22,46,0,24,0.282,94.32,86.43,0.14,1010,3.9,184,3.2,63.043500133540306
28.700000000000003,202,675,3,23.4,154,1,0,155,0.281,72.98,42.42,0.14,1011,4.0,34,5.300000000000001,0.3463478542068401
28.9,241,854,3,23.0,224,10,0,233,0.282,70.44,25.47,0.14,1011,4.1000000000000005,35,6.6000000000000005,5.8222246666583715
28.200000000000003,185,679,3,21.200000000000003,244,15,0,255,0.277,65.86,42.59,0.14,1013,4.0,43,6.4,23.710097469024788
26.200000000000003,169,393,3,20.6,194,63,0,225,0.278,71.46000000000001,61.18,0.14,1013,4.0,44,7.300000000000001,82.97119039854442
26.200000000000003,152,532,0,20.6,152,639,0,532,0.269,71.29,53.48,0.14,1012,3.6,36,5.0,647.6865625026754
28.1,165,835,2,19.8,408,250,3,622,0.272,60.67,31.08,0.14,1011,3.4000000000000004,29,5.1000000000000005,222.58949735184453
29.700000000000003,130,876,0,17.6,130,877,0,876,0.271,48.36,31.64,0.14,1006,1.6,18,4.0,878.8721362723293
22.9,19,23,0,20.3,19,86,0,23,0.277,85.39,87.24,0.14,1001,2.1,224,0.9,71.28166220666378
27.4,186,854,0,20.0,186,756,0,854,0.289,63.88,27.9,0.14,1007,4.0,2,4.800000000000001,763.8841201768191
26.5,155,508,7,21.4,247,79,3,293,0.291,73.42,54.65,0.15,1007,4.2,32,5.1000000000000005,107.34455393575655
27.8,180,781,7,20.200000000000003,157,3,3,159,0.293,63.370000000000005,34.99,0.15,1007,4.0,28,5.4,13.927303805547865
27.8,108,574,0,19.9,108,770,0,574,0.288,62.01,52.73,0.14,1008,2.7,24,3.6,765.616146657523
26.9,156,701,0,17.7,156,742,0,701,0.302,57.11,42.78,0.14,1005,3.0,183,1.0,745.7295655964526
26.0,138,873,0,14.7,138,859,0,873,0.3,49.61,31.13,0.14,1015,2.0,36,3.9,855.2411927480099
23.8,92,381,1,15.5,92,686,0,381,0.297,59.84,65.1,0.14,1017,1.6,47,6.300000000000001,659.443234226323
26.9,125,696,0,17.7,125,806,0,696,0.298,57.13,44.93,0.15,1007,2.3000000000000003,38,4.1000000000000005,814.1701111502299
24.200000000000003,109,811,0,13.6,109,887,0,811,0.301,51.65,37.78,0.14,1014,1.9,38,5.0,888.312115366225
26.5,50,144,0,14.0,50,488,0,144,0.281,46.23,78.94,0.14,1004,1.7000000000000002,197,0.8,460.9253055998407
23.1,128,829,2,11.9,376,296,0,617,0.324,49.26,35.5,0.14,1011,2.1,298,2.7,287.4874565018183
22.6,56,122,0,10.5,56,375,0,122,0.315,46.22,79.85000000000001,0.14,1011,2.0,71,0.8,377.780703615505
30.0,236,694,0,14.6,236,611,0,694,0.285,39.19,41.47,0.14,1008,2.4000000000000004,265,2.1,636.78741348736
29.1,207,579,0,16.2,207,578,0,579,0.275,45.71,49.94,0.14,1005,2.5,233,4.800000000000001,600.7842856213333
26.0,45,91,0,18.6,45,331,0,91,0.275,63.82,82.03,0.14,1011,2.8000000000000003,16,2.2,306.4251509398898
27.700000000000003,182,683,0,20.0,182,698,0,683,0.257,63.120000000000005,44.16,0.14,1010,2.8000000000000003,345,2.1,710.8061025672844
28.3,128,420,0,18.0,128,619,0,420,0.265,53.74,61.84,0.14,1008,2.2,26,2.5,645.6957418732729
26.700000000000003,167,737,3,17.400000000000002,360,197,0,508,0.281,56.82,41.23,0.14,1006,2.7,270,3.3000000000000003,199.45513081868785
21.6,165,740,2,13.0,352,237,0,529,0.299,58.120000000000005,41.63,0.14,1012,2.3000000000000003,274,2.0,223.53882668819114
20.4,122,586,0,11.6,122,768,0,586,0.294,57.09,52.84,0.14,1016,2.0,261,3.6,762.8606322955875
21.700000000000003,117,689,0,11.1,117,830,0,689,0.283,50.76,46.5,0.14,1016,2.1,264,3.3000000000000003,824.0561818199988
22.9,120,698,0,9.3,120,833,0,698,0.281,42.08,45.97,0.14,1018,2.0,353,0.5,827.3803151286002
23.9,118,687,0,9.6,118,833,0,687,0.283,40.38,46.89,0.14,1017,1.9,13,2.0,828.5342474098883
24.4,167,644,2,17.8,284,359,0,528,0.279,66.77,47.28,0.14,1013,3.0,53,6.2,281.2020258956767
21.6,180,373,2,18.4,192,130,3,251,0.271,81.87,63.05,0.15,1015,3.2,66,2.1,116.32935987183157
